business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
3SmxXQy-Mm0XOryH0dyHoQ,SUZANNE Sizzles at the Westgate Las Vegas,28,19:0-20:30,-115.1512526,36.1362575
uglkV5aFOFrKy5WxoedGJA,The Burlesque Hall of Fame,35,11:0-19:0,-115.1396775,36.1689485
nW3Cq-PPmDLMMlDaeXLDqA,Wolf Theater,26,15:0-21:0,-115.1587779,36.1319703
A6qvHu4tVEKzwjZjWSCeRQ,V - The Ultimate Variety Show,63,19:0-22:0,-115.168835459,36.1107409676
CMN3KmB5SEfONN00s2nEeQ,Cirque du Soleil - Criss Angel Believe,28,12:0-22:0,-115.175818,36.09558
o1dX8oFupfjbBpYgT7TH0w,Thunder From Down Under,65,19:0-20:15,-115.176612,36.097106
68vGFIH94olrtPi1kAEYVw,Gordie Brown,52,19:30-21:0,-115.1415204,36.1696229
Oc853wEANeKB1ulOrwNtPg,Sergio Daae,44,0:0-23:0,-115.1738726,36.1097544
kKvPw2RPbNTzSD08K8_1SQ,One Epic Night,19,18:30-20:30,-115.1468298,36.1720776
Lf_VHUKpXI-5xElxTBgNBg,All Shook Up,54,18:0-19:30,-115.1714113,36.1107901
o597EK6uvR5RuPMZEwYCUg,JABBAWOCKEEZ,72,10:0-22:0,-115.1697555,36.1029162
4Pzw-hvOESVUhQnZvXzjOg,Sin City Comedy Show,37,19:0-20:30,-115.172689,36.110247
4zD8uwQd1RCbpN1l0fJ64A,Stripper 101,47,9:0-22:0,-115.168838183,36.110703372
bPfvv7TvMLxxA3__VomsxQ,Saddle N Spurs Saloon,30,0:0-23:0,-115.2232141,36.2023801
a2JgQgEGm5hMDEhryhMMJg,VEGAS! The Show,68,19:0-23:0,-115.172145,36.110975
B32Ghxep_UhiscserSXMSA,Zarkana by Cirque du Soleil,63,10:0-22:0,-115.178174973,36.1071266589
7SJoMX5ti-VoEsEW6mJLRA,The Smith Center,70,10:0-19:30,-115.150743625,36.1694552535
Nm1pBGkT5euNOn29JHwXrQ,The Lion King,66,10:0-22:0,-115.1778316,36.0930659
GCG1Xuy2yIdjbl7dbznf7Q,Twisted Vegas,51,19:0-20:30,-115.1529262,36.1370978
JUygwe5d_MXCCOdk0WB30g,Steve Wynn's ShowStoppers,52,19:30-21:0,-115.1653651,36.1265953
