business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
1p0Iu66E3ooq_tZkcmCZkg,Crazy Horse Paris,46,20:0-22:30,-115.1724261,36.1011972
BH9z7IJ4zydAqgwsbqoVZQ,Cirque du Soleil - O,89,10:0-22:0,-115.17726,36.114062
TX6BBY9rXOrNlHZdGmbrIQ,Beatleshow Orchestra,48,9:0-22:0,-115.172564963,36.1107453623
GVHCYFp_o3FxzHKebmtdzQ,Freakling Bros The Trilogy of Terror,52,19:0-23:0,-115.308968781,36.1104289831
9PliBKLrTGttISgMwD5NDw,Step By Step Dance Studios,15,13:0-22:0,-115.127262,36.1000159
DXlDzOcpdUE_F21tok0fgw,KA by Cirque Du Soleil,82,10:0-22:0,-115.170196649,36.1032760672
NW366Ota9w52nYofW99u1g,United Artists Showcase Theatre 8,28,11:0-23:0,-115.1724856,36.1044767
fwuvm9wWcvFwpQXzcneaDQ,Carrot Top,75,20:30-23:30,-115.1758039,36.0954628
_73kJo3Yg6jGoXRkEYTIJg,Trapeze Las Vegas,60,9:0-22:0,-115.1664298,36.0698799
MuaUtNrlJwJwZ8EGpBf6Tg,Nieve Malandra,30,0:0-23:0,-115.257890304,36.1813908944
jkIKN3as_1RncDOTKxdN-A,Frankie Moreno - Under the Influence,59,21:0-23:0,-115.136402585,36.174975385
U57kGjM96gJHP3FZiCde5w,Frank Marino's Divas Las Vegas,60,21:30-23:0,-115.1702195,36.1238426
3wQy58Fdg_xrgul2FOw0_A,The Mentalist,52,9:0-22:0,-115.172636191,36.110833386
pcHsG8Ibt3XrZMW405pcpQ,53x,39,20:30-22:30,-115.1702213,36.1123576
ZqLPwzbrGjOnwescG6ltEQ,Steve Wyrick: Real Magic,31,10:0-23:0,-115.1727107,36.1094088
Euarvo7ZLzpuTOFXOx70Qw,Squeezebox Hero,30,8:0-23:0,-115.07,36.1
AQ3M-0jn-A44yKUevvLIXA,Crazy Girls,23,21:30-23:0,-115.159635544,36.1352406326
FlLkjcSzfqmQBK6iEHRtTg,The Venetian,11,0:0-23:0,-115.169934999,36.1214762806
8fYvO8ZMILIlPcYNB9IA1w,Legends In Concert,49,21:30-22:45,-115.168647766,36.1287243563
KmuLLSyZJdNoarwcIERHcw,Cirque du Soleil - Mystère,75,10:0-22:0,-115.170284,36.12433
y7Js-07RF8d3N_AEtaw2VQ,Heart Attack Grill,54,11:0-22:0,-115.1721069,36.1065513
N98tlF53bqiWZ72INWaFyg,Saxe Theater,28,9:0-22:0,-115.172593275,36.1107640452
kMLbk84aClc4qwSnuuuFzw,V Theater,42,9:0-22:0,-115.168883801,36.1105591138
RzEpt3Ts0TB6q_7ix4v7cg,Criss Angel Mindfreak LIVE!,60,12:0-22:0,-115.1758039,36.0954628
-20PsGUoi0cK3hKwtFoh2w,Graceland Presents Elvis: The Exhibition-The Show-The Experience,15,10:0-22:0,-115.1514119,36.1362847
diJLOTB7YfItRLcEr55MoQ,Alibi Las Vegas,51,0:0-23:0,-115.172170497,36.108133432
I7Cx_EekPL_7F4Jj3vz0GA,The Las Vegas Tenors,34,20:30-22:0,-115.151858814,36.1351095759
wmSpZnWRgaH1Zk8sfnRqHA,The Rock Center For Dance,22,10:0-22:0,-115.1458962,36.0135265
raepeYYxz534s7F0JhqKew,Olivia Newton-John: Summer Nights,38,19:30-22:0,-115.171992461,36.1162937814
XI5qSLv5VXwFW_cuKH1xEA,Booty Ring Toss Bachelor Parties,35,0:0-23:0,-115.1711298,36.128561
u-67zd1ImTv3EEr5kIdWrA,House of Blues Restaurant & Bar,64,7:0-23:0,-115.175868273,36.0928664972
sk0stgY4NDJYOX1MbNJ3Pg,T-Mobile Arena,43,0:0-23:0,-115.178207717,36.1028149787
nY6X0GcgjYAx1UV7TdOTaA,Dugger Music Services,33,8:0-22:0,-115.224292181,36.3655189484
VsNL5l5hNLMdm4LUIH0KoQ,BAZ Las Vegas,53,20:0-22:0,-115.1684696,36.1242284
lJtdjZBK_j0G_RsdQci63A,Art of Music,7,10:0-23:0,-115.175235287,36.0931138859
J3FUxMAHfCl-WFo86u5DqA,Blue Man Group,66,9:0-23:0,-115.175807573,36.0966823101
oVrvzUJczq0e2JzVxSTyag,Cirque du Soleil - Zumanity,79,10:0-22:30,-115.174841601,36.1028937149
Shbayhg-r15fZEPdFeWlNg,Arthur Murray Dance Studio Las Vegas East,33,13:0-22:0,-115.1364041,36.106605
QAg4ZPTjcyP8saEffAaHlg,Million Dollar Quartet,51,20:0-22:0,-115.170482,36.116574
RcBw2MkTq9M6ViFOviMLfQ,Paul Vigil Magic & Mentalism,35,10:0-22:0,-115.1768382,36.1206015
g-NKvwy8iLePEQHsoUb17g,Penn & Teller,70,21:0-23:0,-115.1869771,36.1153362
5Yc1owD5Unq7Ko8H-ZAdYg,Zombie Burlesque,72,9:0-22:30,-115.170408626,36.1108461916
wFa5bQpsjwz4x3UaK1y3-Q,Sophia in Sapphire,36,12:0-22:0,-115.2089904,36.1287798
1fK0bh0dI_Pz6-I8jorHQw,Mystery Adventures,47,10:0-22:0,-115.139501,36.144583
XbdLjQ2RK_htqs4ST1F_BQ,Neon Venus Art Theatre,10,9:0-23:30,-115.1514363,36.1544422
